categoria,porcentagem
Open source,0.004640371229698376
Mobile,0.002320185614849188
Java,0.22505800464037123
Software engineering,0.037122969837587005
Internet,0.09744779582366589
Web development,0.03944315545243619
Miscellaneous,0.004640371229698376
Microsoft .net,0.07888631090487239
Microsoft,0.018561484918793503
Next generation databases,0.002320185614849188
Powerbuilder,0.016241299303944315
Client-server,0.025522041763341066
Computer graphics,0.013921113689095127
Object-oriented programming,0.009280742459396751
S,0.002320185614849188
Networking,0.016241299303944315
Theory,0.016241299303944315
Programming,0.027842227378190254
Python,0.013921113689095127
Mobile technology,0.013921113689095127
Business,0.027842227378190254
P,0.002320185614849188
Xml,0.009280742459396751
Perl,0.013921113689095127
Microsoft/.net,0.002320185614849188
Miscella,0.002320185614849188
Object-technology programming,0.002320185614849188
.net,0.002320185614849188
Algorithmic art,0.002320185614849188
Php,0.002320185614849188
Soa,0.002320185614849188
Computer graph,0.002320185614849188
Client server,0.002320185614849188
In action,0.002320185614849188
Software development,0.002320185614849188
